GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2008 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2008 inflation-adjusted dollars)
0400000US01,01,Alabama,42666,682
0400000US02,02,Alaska,68460,1917
0400000US04,04,Arizona,50958,511
0400000US05,05,Arkansas,38815,702
0400000US06,06,California,61021,236
0400000US08,08,Colorado,56993,623
0400000US09,09,Connecticut,68595,1131
0400000US10,10,Delaware,57989,1601
0400000US11,11,District of Columbia,57936,2402
0400000US12,12,Florida,47778,351
0400000US13,13,Georgia,50861,410
0400000US15,15,Hawaii,67214,1868
0400000US16,16,Idaho,47576,961
0400000US17,17,Illinois,56235,363
0400000US18,18,Indiana,47966,539
0400000US19,19,Iowa,48980,643
0400000US20,20,Kansas,50177,478
0400000US21,21,Kentucky,41538,446
0400000US22,22,Louisiana,43733,631
0400000US23,23,Maine,46581,892
0400000US24,24,Maryland,70545,622
0400000US25,25,Massachusetts,65401,597
0400000US26,26,Michigan,48591,421
0400000US27,27,Minnesota,57288,520
0400000US28,28,Mississippi,37790,676
0400000US29,29,Missouri,46867,373
0400000US30,30,Montana,43654,1263
0400000US31,31,Nebraska,49693,811
0400000US32,32,Nevada,56361,793
0400000US33,33,New Hampshire,63731,1642
0400000US34,34,New Jersey,70378,516
0400000US35,35,New Mexico,43508,912
0400000US36,36,New York,56033,380
0400000US37,37,North Carolina,46549,423
0400000US38,38,North Dakota,45685,974
0400000US39,39,Ohio,47988,317
0400000US40,40,Oklahoma,42822,713
0400000US41,41,Oregon,50169,523
0400000US42,42,Pennsylvania,50713,260
0400000US44,44,Rhode Island,55701,1791
0400000US45,45,South Carolina,44625,633
0400000US46,46,South Dakota,46032,1172
0400000US47,47,Tennessee,43614,425
0400000US48,48,Texas,50043,220
0400000US49,49,Utah,56633,705
0400000US50,50,Vermont,52104,980
0400000US51,51,Virginia,61233,435
0400000US53,53,Washington,58078,575
0400000US54,54,West Virginia,37989,1017
0400000US55,55,Wisconsin,52094,357
0400000US56,56,Wyoming,53207,1992
0400000US72,72,Puerto Rico,18401,316
