GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2006 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2006 inflation-adjusted dollars)
0400000US01,01,Alabama,38783,512
0400000US02,02,Alaska,59393,1442
0400000US04,04,Arizona,47265,439
0400000US05,05,Arkansas,36599,491
0400000US06,06,California,56645,236
0400000US08,08,Colorado,52015,491
0400000US09,09,Connecticut,63422,824
0400000US10,10,Delaware,52833,1415
0400000US11,11,District of Columbia,51847,1221
0400000US12,12,Florida,45495,247
0400000US13,13,Georgia,46832,401
0400000US15,15,Hawaii,61160,1162
0400000US16,16,Idaho,42865,877
0400000US17,17,Illinois,52006,274
0400000US18,18,Indiana,45394,421
0400000US19,19,Iowa,44491,523
0400000US20,20,Kansas,45478,506
0400000US21,21,Kentucky,39372,535
0400000US22,22,Louisiana,39337,603
0400000US23,23,Maine,43439,773
0400000US24,24,Maryland,65144,659
0400000US25,25,Massachusetts,59963,623
0400000US26,26,Michigan,47182,318
0400000US27,27,Minnesota,54023,445
0400000US28,28,Mississippi,34473,614
0400000US29,29,Missouri,42841,449
0400000US30,30,Montana,40627,705
0400000US31,31,Nebraska,45474,579
0400000US32,32,Nevada,52998,1049
0400000US33,33,New Hampshire,59683,1238
0400000US34,34,New Jersey,64470,658
0400000US35,35,New Mexico,40629,714
0400000US36,36,New York,51384,255
0400000US37,37,North Carolina,42625,440
0400000US38,38,North Dakota,41919,1000
0400000US39,39,Ohio,44532,352
0400000US40,40,Oklahoma,38770,649
0400000US41,41,Oregon,46230,503
0400000US42,42,Pennsylvania,46259,290
0400000US44,44,Rhode Island,51814,1151
0400000US45,45,South Carolina,41100,431
0400000US46,46,South Dakota,42791,983
0400000US47,47,Tennessee,40315,425
0400000US48,48,Texas,44922,287
0400000US49,49,Utah,51309,573
0400000US50,50,Vermont,47665,1270
0400000US51,51,Virginia,56277,458
0400000US53,53,Washington,52583,479
0400000US54,54,West Virginia,35059,618
0400000US55,55,Wisconsin,48772,440
0400000US56,56,Wyoming,47423,1479
0400000US72,72,Puerto Rico,17621,385
