GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2532078,21562
0400001US02,02,Alaska -- Urban,434998,6652
0400001US04,04,Arizona -- Urban,5044339,22946
0400001US05,05,Arkansas -- Urban,1463991,16890
0400001US06,06,California -- Urban,33844533,40863
0400001US08,08,Colorado -- Urban,3827320,18917
0400001US09,09,Connecticut -- Urban,3049045,14085
0400001US10,10,Delaware -- Urban,648807,8117
0400001US11,11,District of Columbia -- Urban,581530,*****
0400001US12,12,Florida -- Urban,15567196,30551
0400001US13,13,Georgia -- Urban,6518737,31658
0400001US15,15,Hawaii -- Urban,1158727,7485
0400001US16,16,Idaho -- Urban,944580,8264
0400001US17,17,Illinois -- Urban,11120716,21653
0400001US18,18,Indiana -- Urban,4339752,20995
0400001US19,19,Iowa -- Urban,1790905,14377
0400001US20,20,Kansas -- Urban,1943030,12024
0400001US21,21,Kentucky -- Urban,2291415,16586
0400001US22,22,Louisiana -- Urban,2982604,20700
0400001US23,23,Maine -- Urban,535275,12281
0400001US24,24,Maryland -- Urban,4750969,16512
0400001US25,25,Massachusetts -- Urban,5830190,14167
0400001US26,26,Michigan -- Urban,7360148,23857
0400001US27,27,Minnesota -- Urban,3552395,21794
0400001US28,28,Mississippi -- Urban,1359607,18037
0400001US29,29,Missouri -- Urban,3986579,20223
0400001US30,30,Montana -- Urban,491680,9098
0400001US31,31,Nebraska -- Urban,1222087,9852
0400001US32,32,Nevada -- Urban,2051627,16294
0400001US33,33,New Hampshire -- Urban,753747,9893
0400001US34,34,New Jersey -- Urban,8158941,12348
0400001US35,35,New Mexico -- Urban,1492169,13794
0400001US36,36,New York -- Urban,16845849,26059
0400001US37,37,North Carolina -- Urban,5229658,32068
0400001US38,38,North Dakota -- Urban,353073,5204
0400001US39,39,Ohio -- Urban,8667326,25627
0400001US40,40,Oklahoma -- Urban,2335380,19340
0400001US41,41,Oregon -- Urban,2935675,15935
0400001US42,42,Pennsylvania -- Urban,9498791,24532
0400001US44,44,Rhode Island -- Urban,956831,8356
0400001US45,45,South Carolina -- Urban,2557735,22604
0400001US46,46,South Dakota -- Urban,399352,6545
0400001US47,47,Tennessee -- Urban,3736457,21394
0400001US48,48,Texas -- Urban,18793969,49740
0400001US49,49,Utah -- Urban,2189196,10806
0400001US50,50,Vermont -- Urban,227423,6452
0400001US51,51,Virginia -- Urban,5498884,16942
0400001US53,53,Washington -- Urban,5180359,20457
0400001US54,54,West Virginia -- Urban,829234,13337
0400001US55,55,Wisconsin -- Urban,3696256,20611
0400001US56,56,Wyoming -- Urban,336054,6910
