GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400001US01,01,Alabama -- Urban,2512604,10581
0400001US02,02,Alaska -- Urban,441337,3801
0400001US04,04,Arizona -- Urban,5048886,13813
0400001US05,05,Arkansas -- Urban,1468333,9066
0400001US06,06,California -- Urban,33625241,20494
0400001US08,08,Colorado -- Urban,3834842,10367
0400001US09,09,Connecticut -- Urban,3038977,6311
0400001US10,10,Delaware -- Urban,651188,4129
0400001US11,11,District of Columbia -- Urban,585267,*****
0400001US12,12,Florida -- Urban,15516636,16580
0400001US13,13,Georgia -- Urban,6494634,15674
0400001US15,15,Hawaii -- Urban,1159045,4880
0400001US16,16,Idaho -- Urban,948803,5808
0400001US17,17,Illinois -- Urban,11069642,11315
0400001US18,18,Indiana -- Urban,4345237,11056
0400001US19,19,Iowa -- Urban,1791915,9712
0400001US20,20,Kansas -- Urban,1956865,6872
0400001US21,21,Kentucky -- Urban,2312995,8932
0400001US22,22,Louisiana -- Urban,3050671,10229
0400001US23,23,Maine -- Urban,535181,5360
0400001US24,24,Maryland -- Urban,4752554,9111
0400001US25,25,Massachusetts -- Urban,5847752,7491
0400001US26,26,Michigan -- Urban,7379476,11770
0400001US27,27,Minnesota -- Urban,3566355,10377
0400001US28,28,Mississippi -- Urban,1363951,8525
0400001US29,29,Missouri -- Urban,3981779,10251
0400001US30,30,Montana -- Urban,507057,4756
0400001US31,31,Nebraska -- Urban,1222515,5694
0400001US32,32,Nevada -- Urban,2082671,8170
0400001US33,33,New Hampshire -- Urban,752998,5202
0400001US34,34,New Jersey -- Urban,8111012,7359
0400001US35,35,New Mexico -- Urban,1482286,7662
0400001US36,36,New York -- Urban,16836969,12571
0400001US37,37,North Carolina -- Urban,5257720,16126
0400001US38,38,North Dakota -- Urban,359004,2344
0400001US39,39,Ohio -- Urban,8675510,12991
0400001US40,40,Oklahoma -- Urban,2330235,10020
0400001US41,41,Oregon -- Urban,2921931,7784
0400001US42,42,Pennsylvania -- Urban,9496741,14506
0400001US44,44,Rhode Island -- Urban,961721,3065
0400001US45,45,South Carolina -- Urban,2570925,12133
0400001US46,46,South Dakota -- Urban,413235,3420
0400001US47,47,Tennessee -- Urban,3775258,9692
0400001US48,48,Texas -- Urban,18694473,23311
0400001US49,49,Utah -- Urban,2204817,6151
0400001US50,50,Vermont -- Urban,231207,3739
0400001US51,51,Virginia -- Urban,5525717,9942
0400001US53,53,Washington -- Urban,5176593,11106
0400001US54,54,West Virginia -- Urban,839818,7464
0400001US55,55,Wisconsin -- Urban,3736686,10410
0400001US56,56,Wyoming -- Urban,331515,3350
