request,Election_State:token,Election_State:id,Election_State,Election_Year:token,Election_Year:id,Election_Year,General_Party:token,General_Party:id,General_Party,General_Office:token,General_Office:id,General_Office,Broad_Sector:token,Broad_Sector:id,Broad_Sector,#_of_Records,Total_$
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2010&c-t-p=2&c-r-ot=G&d-ccg=2",s,TX,TX,y,2010,2010,c-t-p,2,Republican,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,1449,5149515.54
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2014&c-t-p=2&c-r-ot=G&d-ccg=2",s,TX,TX,y,2014,2014,c-t-p,2,Republican,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,334,4634231.26
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2010&c-t-p=2&c-r-ot=H&d-ccg=2",s,TX,TX,y,2010,2010,c-t-p,2,Republican,c-r-ot,H,"State House/Assembly",d-ccg,2,Construction,2369,4100391.03
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=IL&y=2006&c-t-p=1&c-r-ot=G&d-ccg=2",s,IL,IL,y,2006,2006,c-t-p,1,Democratic,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,1061,3985292.91
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2006&c-t-p=2&c-r-ot=G&d-ccg=2",s,TX,TX,y,2006,2006,c-t-p,2,Republican,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,1050,3921799.56
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=AL&y=2010&c-t-p=2&c-r-ot=G&d-ccg=2",s,AL,AL,y,2010,2010,c-t-p,2,Republican,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,400,3523050.55
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=PA&y=2002&c-t-p=1&c-r-ot=G&d-ccg=2",s,PA,PA,y,2002,2002,c-t-p,1,Democratic,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,1376,3433306.08
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2012&c-t-p=2&c-r-ot=H&d-ccg=2",s,TX,TX,y,2012,2012,c-t-p,2,Republican,c-r-ot,H,"State House/Assembly",d-ccg,2,Construction,1868,3360882.97
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=TX&y=2008&c-t-p=2&c-r-ot=H&d-ccg=2",s,TX,TX,y,2008,2008,c-t-p,2,Republican,c-r-ot,H,"State House/Assembly",d-ccg,2,Construction,2014,3334170.77
"s=AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY&y=2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997&f-core=1&c-t-p=1,2,3&d-ccg=1,2&s=WI&y=2012&c-t-p=2&c-r-ot=G&d-ccg=2",s,WI,WI,y,2012,2012,c-t-p,2,Republican,c-r-ot,G,Gubernatorial,d-ccg,2,Construction,2609,3268390.36
