GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URBRURALA,URB_AREA,URB_AREAA,CD103A,ANPSADPI,ET1001,EUY001,EUY002,EUY003,EUY004,EUY005,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G010","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Alabama","01",,,,,"Alabama",4040587,2975797,1020705,16506,21797,5782,2960167,1017713,16221,21217,640,15630,2992,285,580,5142
"G020","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Alaska","02",,,,,"Alaska",550043,415492,22451,85698,19728,6674,406722,21799,84594,18730,395,8770,652,1104,998,6279
"G040","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Arizona","04",,,,,"Arizona",3665228,2963186,110524,203527,55206,332785,2626185,104809,190091,51530,4275,337001,5715,13436,3676,328510
"G050","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Arkansas","05",,,,,"Arkansas",2350725,1944744,373912,12773,12530,6766,1933082,372762,12393,12144,468,11662,1150,380,386,6298
"G060","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","California","06",,,,,"California",29760021,20524327,2208801,242164,2845659,3939070,17029126,2092446,184065,2710353,56093,3495201,116355,58099,135306,3882977
"G080","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Colorado","08",,,,,"Colorado",3294394,2905474,133146,27776,59862,168136,2658945,128057,22068,56773,4249,246529,5089,5708,3089,163887
"G090","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Connecticut","09",,,,,"Connecticut",3287116,2859353,274269,6654,50698,96142,2754184,260840,5950,49114,3912,105169,13429,704,1584,92230
"G100","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Delaware","10",,,,,"Delaware",666168,535094,112460,2019,9057,7538,528092,111011,1938,8854,453,7002,1449,81,203,7085
"G110","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","District Of Columbia","11",,,,,"District of Columbia",606900,179667,399604,1466,11214,14949,166131,395213,1252,10734,860,13536,4391,214,480,14089
"G120","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Florida","12",,,,,"Florida",12937926,10749285,1759534,36335,154302,238470,9475326,1701103,32910,146159,8285,1273959,58431,3425,8143,230185
"G130","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Georgia","13",,,,,"Georgia",6478216,4600148,1746565,13348,75781,42374,4543425,1737165,12621,73725,2358,56723,9400,727,2056,40016
"G150","1990",,,,,,,,,,,,,,,,,"9",,,,,,,,"4","Hawaii","15",,,,,"Hawaii",1108229,369616,27195,5099,685236,21083,347644,25916,4001,646404,2874,21972,1279,1098,38832,18209
"G160","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Idaho","16",,,,,"Idaho",1006749,950451,3370,13780,9365,29783,928661,3211,12418,9053,479,21790,159,1362,312,29304
"G170","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Illinois","17",,,,,"Illinois",11430602,8952978,1694273,21836,285311,476204,8550208,1673703,18213,275568,8464,402770,20570,3623,9743,467740
"G180","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Indiana","18",,,,,"Indiana",5544159,5020700,432092,12720,37617,41030,4965242,428612,11999,36618,2900,55458,3480,721,999,38130
"G190","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Iowa","19",,,,,"Iowa",2776755,2683090,48090,7349,25476,12750,2663840,47493,6765,24926,1084,19250,597,584,550,11666
"G200","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Kansas","20",,,,,"Kansas",2477574,2231986,143076,21965,31750,48797,2190524,140761,20363,30814,1442,41462,2315,1602,936,47355
"G210","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Kentucky","21",,,,,"Kentucky",3685296,3391832,262907,5769,17812,6976,3378022,261360,5518,17201,1211,13810,1547,251,611,5765
"G220","1990",,,,,,,,,,,,,,,,,"7",,,,,,,,"3","Louisiana","22",,,,,"Louisiana",4219973,2839138,1299281,18541,41099,21914,2776022,1291470,17539,39302,2596,63116,7811,1002,1797,19318
"G230","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Maine","23",,,,,"Maine",1227928,1208360,5138,5998,6683,1749,1203357,4937,5898,6505,402,5003,201,100,178,1347
"G240","1990",,,,,,,,,,,,,,,,,"5",,,,,,,,"3","Maryland","24",,,,,"Maryland",4781468,3393964,1189899,12972,139719,44914,3326109,1177823,12143,136619,3672,67855,12076,829,3100,41242
"G250","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","Massachusetts","25",,,,,"Massachusetts",6016425,5405374,300130,12241,143392,155288,5280292,274464,10545,140338,23237,125082,25666,1696,3054,132051
"G260","1990",,,,,,,,,,,,,,,,,"3",,,,,,,,"2","Michigan","26",,,,,"Michigan",9295297,7756086,1291706,55638,104983,86884,7649951,1282744,52571,102506,5929,106135,8962,3067,2477,80955
"G270","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Minnesota","27",,,,,"Minnesota",4375099,4130395,94944,49909,77886,21965,4101266,93040,48251,76229,2429,29129,1904,1658,1657,19536
"G280","1990",,,,,,,,,,,,,,,,,"6",,,,,,,,"3","Mississippi","28",,,,,"Mississippi",2573216,1633461,915057,8525,13016,3157,1624198,911891,8316,12543,337,9263,3166,209,473,2820
"G290","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Missouri","29",,,,,"Missouri",5117073,4486228,548208,19835,41277,21525,4448465,545527,18873,40087,2419,37763,2681,962,1190,19106
"G300","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Montana","30",,,,,"Montana",799065,741111,2381,47679,4259,3635,733878,2242,46475,4123,173,7233,139,1204,136,3462
"G310","1990",,,,,,,,,,,,,,,,,"4",,,,,,,,"2","Nebraska","31",,,,,"Nebraska",1578385,1480558,57404,12410,12422,15591,1460095,56711,11719,12026,865,20463,693,691,396,14726
"G320","1990",,,,,,,,,,,,,,,,,"8",,,,,,,,"4","Nevada","32",,,,,"Nevada",1201833,1012695,78771,19637,38127,52603,946357,76503,17480,35897,1177,66338,2268,2157,2230,51426
"G330","1990",,,,,,,,,,,,,,,,,"1",,,,,,,,"1","New Hampshire","33",,,,,"New Hampshire",1109252,1087433,7198,2134,9343,3144,1079484,6749,2042,9197,447,7949,449,92,146,2697
"G340","1990",,,,,,,,,,,,,,,,,"2",,,,,,,,"1","New Jersey","34",,,,,"New Jersey",7730188,6130465,1036825,14970,272521,275407,5718966,984845,12490,264341,9685,411499,51980,2480,8180,265722
