GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,RES_TRSTA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,DIVISION,DIVISIONA,MSA_CMSA,MSA_CMSAA,PLACE,PLACEA,PMSA,PMSAA,REGION,REGIONA,STATE,STATEA,URBRURALA,URB_AREA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009
"G010","1990",,,,,,,,,,,,,,,,"6",,,,,,,,"3","Alabama","01",,,,,,"Alabama",3067607,85562,177082,583716,58443,1753,858,22033,43533
"G020","1990",,,,,,,,,,,,,,,,"9",,,,,,,,"4","Alaska","02",,,,,,"Alaska",186887,37283,86088,70123,135848,690,598,7712,24814
"G040","1990",,,,,,,,,,,,,,,,"8",,,,,,,,"4","Arizona","04",,,,,,"Arizona",1252645,339668,876621,365669,506191,3048,1706,41475,278205
"G050","1990",,,,,,,,,,,,,,,,"7",,,,,,,,"3","Arkansas","05",,,,,,"Arkansas",1577038,34472,252510,352305,98224,539,502,10268,24867
"G060","1990",,,,,,,,,,,,,,,,"9",,,,,,,,"4","California","06",,,,,,"California",13797065,1810948,3148199,2525169,1624554,44377,36248,314636,6458825
"G080","1990",,,,,,,,,,,,,,,,"8",,,,,,,,"4","Colorado","08",,,,,,"Colorado",1427412,216759,767596,343664,353956,2618,1404,38551,142434
"G090","1990",,,,,,,,,,,,,,,,"1",,,,,,,,"1","Connecticut","09",,,,,,"Connecticut",1874080,692817,117165,173106,50053,69813,5806,24893,279383
"G100","1990",,,,,,,,,,,,,,,,"5",,,,,,,,"3","Delaware","10",,,,,,"Delaware",334209,156089,29026,105530,10336,4015,280,4408,22275
"G110","1990",,,,,,,,,,,,,,,,"5",,,,,,,,"3","District Of Columbia","11",,,,,,"District of Columbia",238728,71060,35066,163587,33056,974,634,4908,58887
"G120","1990",,,,,,,,,,,,,,,,"5",,,,,,,,"3","Florida","12",,,,,,"Florida",3940240,2781163,1943377,2056746,280373,136188,16392,120846,1662601
"G130","1990",,,,,,,,,,,,,,,,"5",,,,,,,,"3","Georgia","13",,,,,,"Georgia",4179861,328791,412359,1198044,124304,8425,3504,49802,173126
"G150","1990",,,,,,,,,,,,,,,,"9",,,,,,,,"4","Hawaii","15",,,,,,"Hawaii",621992,53125,68961,67570,102376,1502,7492,22507,162704
"G160","1990",,,,,,,,,,,,,,,,"8",,,,,,,,"4","Idaho","16",,,,,,"Idaho",508992,25260,112793,55475,267325,283,262,7454,28905
