GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,RES_ONLYA,TRUSTA,AIANHH,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSA,MSA_CMSAA,PMSA,PMSAA,NECMA,NECMAA,URB_AREA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001,FMR001,FMR002,FMR003,FMR004,FMR005,FMR006,FMR007,FMS001,FMS002,FMS003,FMS004,FMS005,FMS006,FMS007,FMS008,FMS009,FMS010,FMS011,FMS012,FMS013,FMS014
"G010","2000",,"3",,"6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4447100,3162808,1155930,22430,31346,1409,28998,44179,3125819,1150076,21618,30989,1059,2623,39086,36989,5854,812,357,350,26375,5093
"G020","2000",,"4",,"9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",626932,434534,21787,98043,25116,3309,9997,34146,423788,21073,96505,24741,3181,1338,30454,10746,714,1538,375,128,8659,3692
"G040","2000",,"4",,"8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",5130632,3873611,158873,255879,92236,6733,596774,146526,3274258,149941,233370,89315,5639,6120,76372,599353,8932,22509,2921,1094,590654,70154
"G050","2000",,"3",,"7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2673400,2138598,418950,17808,20220,1668,40412,35744,2100135,416615,16702,19892,1494,1332,30364,38463,2335,1106,328,174,39080,5380
"G060","2000",,"4",,"9","California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",33871648,20170059,2263882,333346,3697513,116961,5682241,1607646,15816790,2181926,178984,3648860,103736,71681,903115,4353269,81956,154362,48653,13225,5610560,704531
"G080","2000",,"4",,"8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",4301261,3560005,165063,44241,95213,4621,309931,122187,3202880,158443,28982,93277,3845,5512,72721,357125,6620,15259,1936,776,304419,49466
"G090","2000",,"1",,"1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3405565,2780355,309843,9639,82313,1366,147201,74848,2638845,295571,7267,81564,958,8141,52896,141510,14272,2372,749,408,139060,21952
"G100","2000",,"3",,"5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",783600,584773,150666,2731,16259,283,15855,13033,567973,148435,2324,16110,234,1025,10222,16800,2231,407,149,49,14830,2811
"G110","2000",,"3",,"5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",572059,176101,343312,1713,15189,348,21950,13446,159178,340088,1274,15039,273,1670,9584,16923,3224,439,150,75,20280,3862
"G120","2000",,"3",,"5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",15982378,12465029,2335505,53541,266256,8625,477107,376315,10458509,2264268,42358,261693,6887,28994,236954,2006520,71237,11183,4563,1738,448113,139361
"G130","2000",,"3",,"5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",8186453,5327281,2349542,21737,173170,4246,196289,114188,5128661,2331465,17670,171513,3278,11275,87364,198620,18077,4067,1657,968,185014,26824
"G150","2000",,"4",,"9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1211537,294102,22003,3535,503868,113539,15147,259343,277091,20829,2539,494149,108441,2089,218700,17011,1174,996,9719,5098,13058,40643
"G160","2000",,"4",,"8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1293953,1177304,5456,17645,11889,1308,54742,25609,1139291,4889,15789,11641,1200,1192,18261,38013,567,1856,248,108,53550,7348
"G170","2000",,"2",,"3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12419293,9125471,1876875,31006,423603,4610,722712,235016,8424140,1856152,18232,419916,3116,13479,153996,701331,20723,12774,3687,1494,709233,81020
"G180","2000",,"2",,"3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6080485,5320022,510034,15815,59126,2005,97811,75672,5219373,505462,13654,58424,1573,6348,61115,100649,4572,2161,702,432,91463,14557
"G190","2000",,"2",,"4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",2926324,2748640,61853,8989,36635,1009,37420,31778,2710344,60744,7955,36345,888,2103,25472,38296,1109,1034,290,121,35317,6306
