GISJOIN,YEAR,REGION,REGIONA,DIVISION,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUB,CTY_SUBA,PLACE,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHH,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSA,MSA_CMSAA,PMSA,PMSAA,NECMA,NECMAA,URB_AREA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GI8001,GI8002
"G010","2000",,"3",,"6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4359328,87772
"G020","2000",,"4",,"9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",589762,37170
"G040","2000",,"4",,"8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",4474449,656183
"G050","2000",,"3",,"7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2599710,73690
"G060","2000",,"4",,"9","California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"California",25007393,8864255
"G080","2000",,"4",,"8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",3931358,369903
"G090","2000",,"1",,"1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3035598,369967
"G100","2000",,"3",,"5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",738702,44898
"G110","2000",,"3",,"5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",498498,73561
"G120","2000",,"3",,"5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",13311550,2670828
"G130","2000",,"3",,"5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",7609180,577273
"G150","2000",,"4",,"9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",999308,212229
"G160","2000",,"4",,"8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1229873,64080
"G170","2000",,"2",,"3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",10890235,1529058
"G180","2000",,"2",,"3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",5893951,186534
"G190","2000",,"2",,"4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",2835239,91085
"G200","2000",,"2",,"4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2553683,134735
"G210","2000",,"3",,"6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",3961498,80271
"G220","2000",,"3",,"7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4353091,115885
"G230","2000",,"1",,"1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1238232,36691
"G240","2000",,"3",,"5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",4778171,518315
"G250","2000",,"1",,"1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",5576114,772983
"G260","2000",,"2",,"3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9414855,523589
"G270","2000",,"2",,"4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",4659016,260463
"G280","2000",,"3",,"6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2804750,39908
"G290","2000",,"2",,"4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",5444015,151196
"G300","2000",,"4",,"8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",885799,16396
"G310","2000",,"2",,"4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1636625,74638
"G320","2000",,"4",,"8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",1681664,316593
"G330","2000",,"1",,"1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1181632,54154
"G340","2000",,"1",,"2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",6938023,1476327
"G350","2000",,"4",,"8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",1669440,149606
"G360","2000",,"1",,"2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New York",15108324,3868133
"G370","2000",,"3",,"5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",7619313,430000
"G380","2000",,"2",,"4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",630086,12114
"G390","2000",,"2",,"3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",11013861,339279
"G400","2000",,"3",,"7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",3318907,131747
"G410","2000",,"4",,"9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",3131697,289702
"G420","2000",,"1",,"2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",11772763,508291
"G440","2000",,"1",,"1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",929042,119277
"G450","2000",,"3",,"5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",3896034,115978
"G460","2000",,"2",,"4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",741349,13495
"G470","2000",,"3",,"6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",5530279,159004
