State,FIPS,censor,EV1997,EV1998,EV1999,EV2000,EV2001,EV2002,EV2003,EV2004,EV2005,EV2006,EV2007,EV2008,EV2009,EV2010,EV2011,EV2012,EV2013,EV2014
AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CT,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GA,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HI,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ME,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MN,27,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MS,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MO,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MT,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NV,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,37,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ND,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OH,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK,40,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OR,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RI,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SC,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SD,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TX,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UT,49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VT,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WA,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WV,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WI,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
