state,dem_fedvotes,rep_fedvotes,oth_fedvotes,year
AL,"2,284,237","3,692,832","38,209",2008
AK,"417,921","500,594","42,383",2008
AS,"7,499","4,350",570,2008
AZ,"2,090,012","2,251,909","107,248",2008
AR,"1,642,469","853,213","389,882",2008
CA,"15,652,198","9,527,153","704,628",2008
CO,"3,779,450","3,055,283","182,372",2008
CT,"1,906,533","1,134,213","133,450",2008
DE,"659,432","528,406","8,165",2008
DC,"474,176","17,367","21,781",2008
FL,"7,716,905","7,837,791","257,220",2008
GA,"6,369,529","6,940,438","159,908",2008
GU,"28,247",0,884,2008
HI,"645,827","203,106","22,466",2008
ID,"716,119","1,152,220","69,415",2008
IL,"10,211,395","5,512,973","376,082",2008
IN,"2,763,002","2,586,225","78,677",2008
IA,"2,530,065","1,940,626","52,515",2008
KS,"1,426,195","2,116,781","111,888",2008
KY,"2,360,199","2,957,460","59,622",2008
LA,"2,169,761","2,609,758","123,992",2008
ME,"1,133,336","1,017,771","14,587",2008
MD,"3,306,705","1,722,401","100,442",2008
MA,"6,121,849","2,353,359","206,138",2008
MI,"8,427,605","5,804,002","429,469",2008
MN,"4,398,463","3,556,741","645,425",2008
MS,"1,767,382","2,018,038","1,259,691",2008
MO,"2,854,927","2,758,832","132,930",2008
MT,"735,886","680,602","32,372",2008
NE,"915,660","1,419,346","34,184",2008
NV,"991,056","796,375","88,671",2008
NH,"1,108,031","925,497","47,204",2008
NJ,"6,078,467","4,536,052","174,143",2008
NM,"1,434,685","986,437","47,252",2008
NY,"8,662,969","4,552,864","815,614",2008
NC,"6,685,933","5,917,501","194,418",2008
ND,"335,855","287,989","6,742",2008
MP,307,"2,117","7,737",2008
OH,"5,692,155","5,169,318","221,217",2008
OK,"1,533,846","2,526,070","86,491",2008
OR,"2,937,854","1,979,554","360,469",2008
PA,"6,485,531","5,176,690","142,335",2008
PR,0,0,"1,908,125",2008
RI,"920,885","400,338","27,587",2008
SC,"2,572,599","3,051,133","42,558",2008
SD,"664,854","468,804","7,997",2008
TN,"3,050,215","4,036,332","239,672",2008
TX,"9,897,396","13,020,714","600,382",2008
UT,"721,431","1,099,947","67,831",2008
VT,"467,465","98,974","56,758",2008
VI,"28,153",0,69,2008
VA,"6,181,647","4,544,522","135,740",2008
WA,"3,476,164","2,418,363","56,814",2008
WV,"1,183,492","865,434","12,393",2008
WI,"3,060,747","2,537,380","160,464",2008
WY,"316,459","668,311","18,787",2008
