states,election_year,rep_pvotes,dem_pvotes,ind_pvotes,oth_pvotes,total_pvotes,rep_votes,rep_pct,dem_votes,dem_pct,ind_votes,ind_pct,oth_votes,oth_pct,tot_votes,year
Connecticut,2006,NA,NA,NA,NA,NA,710048,63.2,398220,35.4,0,0,15198,1.4,1123466,2009
Delaware,2008,28972,73961,0,0,102933,126662,32,266861,67.5,0,0,1681,0.5,395204,2009
Maine ,2006,68574,54422,0,0,120996,166425,30.2,209927,38.1,118715,21.5,55798,10.1,550865,2009
Massachusetts ,2006,71430,912348,0,0,983778,784342,35,1234984,55,154628,7,69881,3.1,2243835,2009
New Hampshire,2008,53120,49124,0,0,102444,188555,27.6,479042,70.2,14987,2.2,326,0.05,682910,2009
New Jersey,2005,302521,235778,0,0,538299,985271,43,1224551,53.5,0,0,80277,3.5,2290099,2009
New York ,2006,138263,624684,0,0,762947,1105681,23.5,2740864,58.3,"190,661(c)",4,660661,14,4697867,2009
Pennsylvania,2006,"572,375(d)","644,444 (d)",0,0,1216819,1622135,39.6,2470517,60.4,0,0,0,0,4092652,2009
Rhode Island,2006,63148,88688,0,0,151836,197306,51,189503,48.9,0,0,0,0,387870,2009
Vermont,2008,11798,18851,0,135,30784,170492,53.4,69534,21.7,0,0,79059,24.7,319085,2009
Illinois,2006,699786,931779,0,0,1631565,1368682,38.2,1736219,48.4,0,0,381770,10.6,3586292,2009
Indiana ,2008,350390,1151951,0,0,1502341,1563885,57.8,1082463,40,28,0,57376,2.1,2703752,2009
Iowa ,2006,"73,903 (d)",148000,0,0,221903,467425,44.1,569021,53.7,0,0,22618,2.1,1059064,2009
Kansas,2006,194295,"76,046 (d)",0,0,382003,343586,40.4,491993,57.9,0,0,14121,1.7,849700,2009
Michigan ,2006,581404,531322,0,119,1112845,1608086,42.3,2142513,56.3,0,0,50657,1.3,3801256,2009
Minnesota ,2006,166112,316470,11689,0,514373,1028568,46.4,1007460,45.4,141735,6.4,25174,1.1,2217719,2009
Nebraska,2006,271487,73592,0,128,345207,435507,73.3,145115,24.5,0,0,12735,2.1,593357,2009
North Dakota,2008,50226,38784,0,18,89028,235009,74.4,74279,23.5,6404,2,0,0,315692,2009
Ohio,2006,812388,783044,0,0,1816916,1470708,35.2,2428013,58,112742,2.7,0,0,4184072,2009
South Dakota ,2006,(d),36389,0,0,92763,206990,61.7,121226,36.1,0,0,7292,2.2,335508,2009
Wisconsin,2006,234020,320782,0,1812,556614,979427,45.3,1139115,52.7,0,0,43158,2,2161700,2009
Alabama,2006,460019,466537,0,0,925467,718327,57.4,519827,41.5,0,0,12247,1,1250401,2009
Arkansas,2006,NA,NA,NA,NA,NA,314630,40.7,430090,55.5,15739,2,13093,1.7,773552,2009
Florida ,2006,985986,857814,0,0,1843800,2519845,52.2,2178289,45.1,92595,1.9,38541,0.8,4829270,2009
Georgia,2006,419254,482117,0,0,901371,1229724,57.9,811049,38.2,0,0,81412,3.8,2122185,2009
Kentucky,2007,202339,348238,0,0,458341,435773,41.3,619552,58.7,0,0,0,0,1055325,2009
Louisiana (a),2007,699275,397755,200810,0,1297840,"699,275 (a) ",54,397755,30.6,200810,15.4,0,0,1297840,2009
Maryland,2006,213744,524671,0,0,738415,825464,46.2,942279,52.7,0,0,20573,1.1,1717068,2009
Mississippi,2007,197647,446722,0,0,644369,430807,57.9,313232,42.1,0,0,0,0,744039,2009
Missouri,2008,395885,358016,0,1729,755630,1136364,39.5,1680611,58.4,0,0,60803,2.1,2877778,2009
North Carolina ,2008,504973,1494998,0,0,1999971,2001168,46.9,2146189,50.3,0,0,121584,2.9,4268941,2009
Oklahoma ,2006,182136,264467,0,0,446603,310327,66.5,616135,33.5,0,0,0,0,926462,2009
South Carolina,2006,247281,138343,0,0,395905,601868,55.1,489076,44.8,0,0,1008,0.1,1091952,2009
Tennessee ,2006,534824,539018,0,809,1074651,540853,29.7,1247491,68.6,30205,1.6,0,0,1818549,2009
Texas,2006,655919,508602,0,0,1164521,1716792,39,1310337,29.8,1344525,30.5,27462,0.7,4399116,2009
