state,rep_ecvs,dem_ecvs,rep_presvotes,dem_presvotes,oth_presvotes,tot_presvotes,year
AL,9,,1176394,693933,13122,1883449,2004
AK,3,,190889,111025,10684,312598,2004
AZ,10,,1104294,893524,14767,2012585,2004
AR,6,,572898,469953,12094,1054945,2004
CA,,55,5509826,6745485,166541,12421852,2004
CO,9,,1101255,1001732,27343,2130330,2004
CT,,7,693826,857488,27455,1578769,2004
DE,,3,171660,200152,3378,375190,2004
DC,,3,21256,202970,3360,227586,2004
FL,27,,3964522,3583544,61744,7609810,2004
GA,15,,1914254,1366149,21472,3301875,2004
HI,,4,194191,231708,3114,429013,2004
ID,4,,409235,181098,8114,598447,2004
IL,,21,2345946,2891550,36826,5274322,2004
IN,11,,1479438,969011,19553,2468002,2004
IA,7,,751957,741898,13053,1506908,2004
KS,6,,736456,434993,16307,1187756,2004
KY,8,,1069439,712733,13710,1795882,2004
LA,9,,1102169,820299,20638,1943106,2004
ME,,4,330201,396842,13709,740752,2004
MD,,10,1024703,1334493,27482,2386678,2004
MA,,12,1071109,1803800,37479,2912388,2004
MI,,17,2313746,2479183,46323,4839252,2004
MN,,9,1346695,1445014,36678,2828387,2004
MS,6,,684981,458094,9070,1152145,2004
MO,11,,1455713,1259171,16480,2731364,2004
MT,3,,266063,173710,10672,450445,2004
NE,5,,512814,254328,11044,778186,2004
NV,5,,418690,397190,13707,829587,2004
NH,,4,331237,340511,5990,677738,2004
NJ,,15,1670003,1911430,30258,3611691,2004
NM,5,,376930,370942,8432,756304,2004
NY,,31,2962567,4314280,114189,7391036,2004
NC,15,,1961166,1525849,13992,3501007,2004
ND,3,,196651,111052,5130,312833,2004
OH,20,,2859768,2741167,26973,5627908,2004
OK,7,,959792,503966,0,1463758,2004
OR,,7,866831,943163,26788,1836782,2004
PA,,21,2793847,2938095,37648,5769590,2004
RI,,4,169046,259765,8323,437134,2004
SC,8,,937974,661699,18057,1617730,2004
SD,3,,232584,149244,6387,388215,2004
TN,11,,1384375,1036477,16467,2437319,2004
TX,34,,4526917,2832704,51144,7410765,2004
UT,5,,663742,241199,22903,927844,2004
VT,,3,121180,184067,7062,312309,2004
VA,13,,1716959,1454742,26666,3198367,2004
WA,,11,1304894,1510201,43989,2859084,2004
WV,5,,423778,326541,5568,755887,2004
WI,,10,1478120,1489504,29383,2997007,2004
WY,3,,167629,70776,5023,243428,2004
