state_name,tot_senate,tot_house,senate_elections,house_elections,year
Alabama,35,105,…,…,2011
Alaska,20,40,…,…,2011
Arizona,30,60,…,…,2011
Arkansas,35,100,…,…,2011
California,40,80,…,…,2011
Colorado,35,65,…,…,2011
Connecticut,36,151,…,…,2011
Delaware,21,41,…,…,2011
Florida,40,120,…,…,2011
Georgia,56,180,…,…,2011
Hawaii ,25,51,…,…,2011
Idaho,35,70,…,…,2011
Illinois,59 (b),118,…,…,2011
Indiana,50,100,…,…,2011
Iowa,50,100,…,…,2011
Kansas,40,125,…,…,2011
Kentucky,38,100,…,…,2011
Louisiana,39,105,39,105,2011
Maine,35,151,…,…,2011
Maryland,47,141,…,…,2011
Massachusetts,40,160,…,…,2011
Michigan,38,110,…,…,2011
Minnesota,67,134,…,…,2011
Mississippi,52,122,52,122,2011
Missouri,34,163,…,…,2011
Montana,50,100,…,…,2011
Nebraska,49,U,…,…,2011
Nevada,21,42,…,…,2011
New Hampshire,24,400,…,…,2011
New Jersey,40,80,40,80,2011
New Mexico,42,70,…,…,2011
New York,62,150,…,…,2011
North Carolina,50,120,…,…,2011
North Dakota,47,94,…,…,2011
Ohio,33,99,…,…,2011
Oklahoma,48,101,…,…,2011
Oregon,30,60,…,…,2011
Pennsylvania,50,203,…,…,2011
Rhode Island,38,75,…,…,2011
South Carolina,46,124,…,…,2011
South Dakota,35,70,…,…,2011
Tennessee,33,99,…,…,2011
Texas,31,150,…,…,2011
Utah,29,75,…,…,2011
Vermont,30,150,…,…,2011
Virginia,40,100,40,100,2011
Washington,49,98,…,…,2011
West Virginia,34,100,…,…,2011
Wisconsin,33,99,…,…,2011
Wyoming,30,60,…,…,2011
